model,family,features,n_features,accuracy,macro_f1,weighted_f1,emlearn_compatible
LogisticRegression,linear,simple,9,0.5928571428571429,0.5350443655400222,0.5584707599219607,False
LinearSVC,linear,simple,9,0.5714285714285714,0.4894152317102587,0.5139087079255633,False
SVC_RBF,kernel,simple,9,0.6571428571428571,0.5951569157233276,0.6283611001766455,False
KNeighbors,neighbors,simple,9,0.6857142857142857,0.6251519580358075,0.6577957549714587,True
DecisionTree,tree,simple,9,0.6857142857142857,0.6814002416661817,0.6818017109018399,True
RandomForest,ensemble,simple,9,0.7785714285714286,0.7614367114367114,0.7669457526600384,True
ExtraTrees,ensemble,simple,9,0.75,0.7211357291154806,0.7259330508321371,True
GaussianNB,bayes,simple,9,0.5857142857142857,0.5135894342436707,0.5713119520407933,True
LogisticRegression,linear,mfcc,13,0.8,0.8079812799673021,0.8028807010752264,False
LinearSVC,linear,mfcc,13,0.7785714285714286,0.7889194664220464,0.7820367913247169,False
SVC_RBF,kernel,mfcc,13,0.7285714285714285,0.7113460615092153,0.7091040775669049,False
KNeighbors,neighbors,mfcc,13,0.7857142857142857,0.7495435881150168,0.7561685565767198,True
DecisionTree,tree,mfcc,13,0.65,0.6178133903133903,0.6223504273504273,True
RandomForest,ensemble,mfcc,13,0.6214285714285714,0.5875040768793619,0.5921685000051231,True
ExtraTrees,ensemble,mfcc,13,0.4714285714285714,0.3932504929947385,0.41176839642312785,True
GaussianNB,bayes,mfcc,13,0.7428571428571429,0.7417840000243651,0.7387749601238444,True
LogisticRegression,linear,mel,20,0.2857142857142857,0.07407407407407407,0.12698412698412698,False
LinearSVC,linear,mel,20,0.2857142857142857,0.07407407407407407,0.12698412698412698,False
SVC_RBF,kernel,mel,20,0.2857142857142857,0.07407407407407407,0.12698412698412698,False
KNeighbors,neighbors,mel,20,0.6714285714285714,0.6297685903947764,0.6518464668369792,True
DecisionTree,tree,mel,20,0.6642857142857143,0.6400270797554329,0.6506354561169017,True
RandomForest,ensemble,mel,20,0.7357142857142858,0.7177430756378125,0.717249166873227,True
ExtraTrees,ensemble,mel,20,0.2857142857142857,0.07407407407407407,0.12698412698412698,True
GaussianNB,bayes,mel,20,0.6285714285714286,0.5436387879864703,0.5988664694369081,True
LogisticRegression,linear,simple_mel,29,0.6714285714285714,0.6349114751215276,0.6609533074006335,False
LinearSVC,linear,simple_mel,29,0.6214285714285714,0.5560116833213776,0.5817027366474341,False
SVC_RBF,kernel,simple_mel,29,0.5214285714285715,0.3962998475193597,0.4302779180827961,False
KNeighbors,neighbors,simple_mel,29,0.6785714285714286,0.597075230511337,0.6361485169088771,True
DecisionTree,tree,simple_mel,29,0.7857142857142857,0.7906958636724228,0.7885264837308812,True
RandomForest,ensemble,simple_mel,29,0.8571428571428571,0.8628755775814598,0.8586552569745848,True
ExtraTrees,ensemble,simple_mel,29,0.6785714285714286,0.6242661324628537,0.6287620713850222,True
GaussianNB,bayes,simple_mel,29,0.5857142857142857,0.5135894342436707,0.5713119520407933,True
LogisticRegression,linear,combined,42,0.8857142857142857,0.892152994859825,0.8862132402575184,False
LinearSVC,linear,combined,42,0.8857142857142857,0.8874679347392807,0.8854815466894984,False
SVC_RBF,kernel,combined,42,0.8714285714285714,0.8797129716502616,0.8725807234205889,False
KNeighbors,neighbors,combined,42,0.9071428571428571,0.9047493394733447,0.9047511345145675,True
DecisionTree,tree,combined,42,0.6928571428571428,0.6807038834823661,0.68465094774679,True
RandomForest,ensemble,combined,42,0.8714285714285714,0.8749264836610862,0.8715175331076787,True
ExtraTrees,ensemble,combined,42,0.8571428571428571,0.861207311207311,0.8572253143681715,True
GaussianNB,bayes,combined,42,0.7785714285714286,0.72138820328929,0.749695635660114,True
