model,family,features,n_features,accuracy,macro_f1,weighted_f1,emlearn_compatible
LinearSVC,linear,simple,9,0.4928571428571429,0.35833333333333334,0.38333333333333325,False
SVC,kernel,simple,9,0.6071428571428571,0.5177687809266757,0.5275826929962268,False
KNeighbors,neighbors,simple,9,0.6071428571428571,0.5477129151042195,0.5529846964629574,True
DecisionTree,tree,simple,9,0.5071428571428571,0.43282913271789797,0.4545128829889675,True
RandomForest,ensemble,simple,9,0.5214285714285715,0.4626901905588015,0.4748694784046088,True
ExtraTrees,ensemble,simple,9,0.5571428571428572,0.41464850097943623,0.4355774407161868,True
MLPClassifier,neural_network,simple,9,0.4357142857142857,0.3125731710637371,0.33979766863863897,True
LinearSVC,linear,mel10,10,0.8714285714285714,0.8754006104726764,0.8658449001619901,False
SVC,kernel,mel10,10,0.8142857142857143,0.7996112075059444,0.7942245724200612,False
KNeighbors,neighbors,mel10,10,0.8,0.7871188387635756,0.7847923379878268,True
DecisionTree,tree,mel10,10,0.6357142857142857,0.6947368906728456,0.6296039020266182,True
RandomForest,ensemble,mel10,10,0.8,0.7933535600202267,0.7858374429803001,True
ExtraTrees,ensemble,mel10,10,0.5714285714285714,0.49391997601716264,0.5049926325045068,True
MLPClassifier,neural_network,mel10,10,0.7857142857142857,0.7817495663044114,0.7742099086347558,True
LinearSVC,linear,simple_mel10,19,0.6571428571428571,0.5942053115966159,0.597754212661045,False
SVC,kernel,simple_mel10,19,0.75,0.732513640257003,0.726478189752526,False
KNeighbors,neighbors,simple_mel10,19,0.8357142857142857,0.8381358140504482,0.8314973644241938,True
DecisionTree,tree,simple_mel10,19,0.5142857142857142,0.42910036285612324,0.4455456948873671,True
RandomForest,ensemble,simple_mel10,19,0.7,0.7049501397597644,0.6979197919252312,True
ExtraTrees,ensemble,simple_mel10,19,0.5428571428571428,0.4295889295889295,0.44758416186987615,True
MLPClassifier,neural_network,simple_mel10,19,0.7142857142857143,0.6437387000946323,0.6462070213886195,True
